,song,artist
0,Girl From Rio,Anitta
1,Don't (feat. RM),eAeon
2,Alive (It Feels Like),Alok
3,Watermelon Sugar,Harry Styles
4,"Volta Bebê, Volta Neném",DJ Guuga & DJ Ivis
5,Disco Arranhado (Funk Remix),Malu & Dj Lucas Beat
6,Blinding Lights,The Weeknd
7,Batom de Cereja (Ao Vivo),Israel & Rodolffo
8,Confetti (feat. Saweetie),Little Mix
9,Astronaut In The Ocean,Masked Wolf
10,Promete,Ana Vilela
11,Save Your Tears (Remix),The Weeknd & Ariana Grande
12,Extraña Sensación (feat. Christopher von Uckermann & Alfonso Herrera) [Live],"RBD, Maite Perroni & Christian Chávez"
13,Anunciação,Alceu Valença
14,Sou + Você,Racionais MC's
15,Dona Cila,Maria Gadú
16,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber
17,"Amarelo, azul e branco",Anavitória & Rita Lee
18,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic"
19,O Carpinteiro (Conto de Fadas),Nattan & Elias Monkbel
20,Fazendinha,Mundo Bita
21,Enjoy the Silence,Depeche Mode
22,Esquema Preferido (Ao Vivo),Os Barões da Pisadinha
23,Tapão Na Raba,Raí Saia Rodada
24,Como É Grande o Meu Amor por Você,Mundo Bita
25,Hold On,Justin Bieber
26,9 Meses,Bárbara Dias
27,Eleanor Rigby (feat. Adam Payne),Cinematic Pop
28,Trem Bala,Ana Vilela
29,Perfect,Ed Sheeran
30,Every Breath You Take,The Police
31,Believer,Imagine Dragons
32,Parabéns da Xuxa,Xuxa
33,Facas (Ao Vivo),Diego & Victor Hugo & Bruno & Marrone
34,La Belle de Jour-Girassol,Alceu Valença & Orquestra Ouro Preto
35,In the End (feat. Fleurie) [Mellen Gi Remix],Tommee Profitt
36,MONTERO (Call Me By Your Name),Lil Nas X
37,Tipo Gin (Ao Vivo),MC Kevin O Chris
38,Deus Me Proteja,Chico César
39,Volta Comigo BB,Zé Vaqueiro
40,Sweet Dreams (Are Made of This),Emily Browning
41,Bom Dia,Tori
42,Meu Mel,Zé Vaqueiro
43,Somewhere Over the Rainbow (feat. Shadow Royale),Joseph William Morgan
44,De Janeiro a Janeiro,Roberta Campos & Nando Reis
45,Diamonds,Rihanna
46,Feel So Close (Radio Edit),Calvin Harris
47,Photograph,Ed Sheeran
48,Story of My Life,One Direction
49,Raridade,Anderson Freire
50,Shallow,Lady Gaga & Bradley Cooper
51,Don't Wait,Mapei
52,Never Let Me Go,"Alok, Bruno Martini & Zeeba"
53,Trevo (Tu) [feat. Tiago Iorc],Anavitória
54,Don't Start Now,Dua Lipa
55,The Unforgiven,Metallica
56,We Will Rock You,Queen
57,Better Together,Jack Johnson
58,Despacito (feat. Justin Bieber) [Remix],Luis Fonsi & Daddy Yankee
59,Have You Ever Seen the Rain,Creedence Clearwater Revival
60,Oração,A Banda Mais Bonita da Cidade
61,A Thousand Miles,Vanessa Carlton
62,Ocean,"Alok, Zeeba & Iro"
63,Mulher Maravilha (Ao Vivo),Zé Neto & Cristiano
64,Dois Corações,Melim
65,Piece Of Your Heart (Alok Remix),"Meduza, Alok & Goodboys"
66,Tropicana (Morena Tropicana),Alceu Valença
67,Miénteme,TINI & Maria Becerra
68,Liberdade (Quando o Grave Bate Forte),"Alok, Mc Don Juan & DJ Gbr"
69,Don't Cha,The Pussycat Dolls & Busta Rhymes
70,Follow the Sun,Xavier Rudd
71,If You Leave Me Now,Chicago
72,Saber Quem Sou,Any Gabrielly
73,Anunciação - Sessions,Mariana Nolasco
74,Lose Control,"Meduza, Becky Hill & Goodboys"
75,Best Part (feat. H.E.R.),Daniel Caesar
76,Too Bad,Giulia Be
77,Tempo,Priscila Brenner
78,Temporary,Lauren Jauregui
79,Vacation,Dirty Heads
80,L'Amour Toujours,Gigi D'Agostino
81,The Business,Tiësto
82,Tema da Vitória (Bônus) [Ao Vivo],Roupa Nova
83,Surrender,Natalie Taylor
84,Ride It,Regard
85,Pedacinho Meu,Thaeme
86,Runaway,AURORA
87,WITHOUT YOU (Miley Cyrus Remix),The Kid LAROI & Miley Cyrus
88,Golden,Harry Styles
89,Mágica (feat. Gusttavo Lima) [Ao Vivo],Matheus & Kauan
90,Basta Você Me Ligar (feat. Xand Avião) [Ao Vivo],Os Barões da Pisadinha
91,Eu Te Vejo Em Tudo,Casa Worship
92,Don't Rush (feat. ANS & Jordan) [Remix],Eduardo Luzquiños
93,Feliz Aniversário (feat. Dias de Truta),Anima Mea & Dias de Truta
94,Pra Você Guardei o Amor (feat. Anavitória) [Ao Vivo],Nando Reis
95,Respire Fundo,Gabi Luthai & MAR ABERTO
96,Therefore I Am,Billie Eilish
97,We're Good,Dua Lipa
98,As,Stevie Wonder
99,Inalcanzable (En Vivo),RBD
0,Dimension (feat. Skepta & Rema),JAE5
1,Loved By You (feat. Burna Boy),Justin Bieber
2,Felony,CKAY
3,Focus,Joeboy
4,Show Me,Joeboy
5,FOR YOU (feat. Davido),Teni
6,Ginger (feat. Burna Boy),"WizKid, Burna Boy"
7,"Blessed (feat. Damian ""Jr. Gong"" Marley)",WizKid
8,All Over Me,Laycon
9,KOLO (feat. Oxlade),Ice Prince
10,Jowo,DaVido
11,INJURE ME,Teni
12,At My Worst (feat. Kehlani),Pink Sweat$
