,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
0,Back In The U.S.S.R. - Remastered 2009,The Beatles,0.486,0.952,9,-7.922,1,0.0489,0.0633,0.000291,0.06,0.854,142.47,audio_features,166760,4
1,Back In The U.S.S.R. - Remastered 2009,The Beatles,0.48,0.969,9,-7.464,1,0.0854,0.069,0.00022,0.0608,0.494,142.489,audio_features,163453,4
2,Back of the Car,Miike Snow,0.806,0.681,4,-4.436,0,0.0287,0.7,0.00851,0.0762,0.953,93.956,audio_features,216227,4
3,Back To Black,Amy Winehouse,0.49,0.725,10,-3.304,1,0.0392,0.123,2.68e-05,0.0983,0.335,123.28,audio_features,240440,4
4,Back Together,Metronomy,0.712,0.677,4,-9.269,0,0.0809,0.0146,0.000112,0.116,0.708,127.032,audio_features,220180,3
5,Bad Boy - Remastered 2009,The Beatles,0.549,0.725,0,-8.512,1,0.0431,0.199,0.0,0.178,0.878,134.64,audio_features,140600,4
6,Bad Ritual,Timber Timbre,0.65,0.261,9,-10.247,0,0.0298,0.494,0.0573,0.149,0.386,75.679,audio_features,187227,4
8,The Bait,Electric Guest,0.777,0.628,11,-6.019,0,0.0298,0.00124,0.0211,0.101,0.712,138.025,audio_features,186013,4
9,Balade À Toronto,Jean Leloup,0.544,0.678,9,-9.683,0,0.0407,0.249,0.000787,0.473,0.74,101.315,audio_features,182933,4
10,The Ballad Of John And Yoko - Remastered 2009,The Beatles,0.656,0.865,4,-8.241,1,0.0311,0.00561,0.000104,0.0853,0.938,135.183,audio_features,179853,4
11,The Ballad Of John And Yoko - Remastered 2009,The Beatles,0.654,0.862,4,-8.437,1,0.0316,0.0053,4.51e-05,0.0955,0.956,135.117,audio_features,181067,4
12,The Ballad Of John And Yoko - Remastered 2015,The Beatles,0.651,0.892,4,-6.551,1,0.0313,0.00465,2.85e-06,0.127,0.962,135.309,audio_features,179480,4
13,Banana Pancakes,Jack Johnson,0.816,0.375,7,-8.053,1,0.0996,0.607,8.66e-06,0.0933,0.615,114.303,audio_features,191907,4
14,Bangers + Mash,Radiohead,0.637,0.98,9,-4.981,0,0.115,0.0307,0.000657,0.601,0.65,135.991,audio_features,199502,4
15,Banquet,Bloc Party,0.578,0.892,10,-7.952,0,0.0441,0.000139,0.0111,0.215,0.892,150.253,audio_features,196613,4
16,Bar Italia,Pulp,0.438,0.597,5,-6.255,1,0.0406,0.395,5.17e-05,0.158,0.109,124.58,audio_features,223267,1
17,Barbra Streisand,Duck Sauce,0.694,0.813,1,-4.129,1,0.335,0.00649,0.000467,0.249,0.741,127.834,audio_features,264814,4
18,Barcarola (You Must Be A Christmas Tree),Sufjan Stevens,0.245,0.267,0,-12.571,1,0.0465,0.921,0.000387,0.0944,0.0692,72.139,audio_features,422827,4
19,Barely Legal,The Strokes,0.427,0.886,0,-6.304,1,0.037,0.004,0.0532,0.0909,0.857,157.609,audio_features,234522,4
20,Barely Legal,The Strokes,0.424,0.884,0,-6.286,1,0.0365,0.00326,0.0499,0.0903,0.852,157.813,audio_features,234693,4
21,Bashful Creatures,Hippo Campus,0.454,0.814,7,-3.539,1,0.0393,0.184,0.0,0.183,0.162,123.885,audio_features,224933,4
22,Basic Space,The xx,0.94,0.208,9,-15.235,0,0.0853,0.21,0.085,0.105,0.148,115.872,audio_features,188120,4
23,bâtard,Stromae,0.743,0.749,7,-9.652,1,0.248,0.0478,0.0,0.746,0.78,126.012,audio_features,208827,4
24,Bathed In Grey,King Krule,0.62,0.322,7,-12.268,1,0.143,0.909,0.000112,0.0636,0.269,82.095,audio_features,241879,4
25,Bathroom Mirror / You're Coming Right?,Justin Hurwitz,0.714,0.427,1,-15.378,0,0.0387,0.31,0.868,0.314,0.54,127.651,audio_features,82813,4
26,The Bay,Metronomy,0.803,0.47,6,-7.232,0,0.0387,0.587,0.091,0.0723,0.887,121.226,audio_features,290173,4
27,Be Above It,Tame Impala,0.746,0.976,4,-6.073,0,0.0682,0.367,0.274,0.111,0.384,118.965,audio_features,201960,4
28,Be Like You,Ed Sheeran,0.671,0.388,11,-6.516,1,0.0762,0.715,0.0,0.192,0.59,105.869,audio_features,218373,4
29,Be Mine,Alabama Shakes,0.459,0.807,4,-5.101,1,0.0642,0.16,8.87e-05,0.116,0.454,72.744,audio_features,254760,4
30,Be My Witness,Bahamas,0.789,0.386,7,-9.006,1,0.033,0.529,0.00222,0.104,0.374,114.668,audio_features,226853,4
31,Beast Of Burden - Remastered 1994,The Rolling Stones,0.783,0.878,1,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626,audio_features,265173,4
32,Beat It,Michael Jackson,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,audio_features,258040,4
33,Beat It - Single Version,Michael Jackson,0.777,0.81,3,-5.728,0,0.0441,0.0301,2.07e-05,0.237,0.907,139.004,audio_features,257733,4
34,Beat The Drum Slowly,Timber Timbre,0.396,0.424,2,-9.766,1,0.0291,0.334,0.472,0.0829,0.0398,83.787,audio_features,329387,4
35,Beau temps mauvais temps,TRICOT MACHINE,0.524,0.51,7,-6.287,1,0.0347,0.603,0.17,0.184,0.415,142.204,audio_features,170800,4
36,Beautiful Boy,Freshly Ground,0.534,0.597,0,-11.126,0,0.0429,0.752,0.00131,0.0924,0.414,121.051,audio_features,238400,4
37,Beautiful Boy,Ben Harper,0.583,0.471,2,-9.386,1,0.0299,0.577,0.0,0.0778,0.484,111.687,audio_features,228000,4
38,Because,The Beatles,0.246,0.166,6,-20.719,0,0.0536,0.933,5.56e-05,0.358,0.0625,110.07,audio_features,164632,4
39,Because - Anthology 3 Version,The Beatles,0.285,0.119,2,-13.644,1,0.0407,0.944,0.0,0.0842,0.0901,130.65,audio_features,143720,4
40,Because - Remastered 2009,The Beatles,0.328,0.249,2,-11.777,1,0.0272,0.754,5.77e-06,0.134,0.162,81.257,audio_features,165667,4
41,Becoming,Milky Chance,0.841,0.56,0,-7.753,0,0.0421,0.918,0.0132,0.0488,0.81,100.017,audio_features,144000,4
42,Becoming,Piano Tribute Players,0.732,0.32,8,-15.825,1,0.0713,0.981,0.936,0.11,0.432,99.993,audio_features,138853,4
43,Before Destruction,Spoon,0.746,0.434,2,-9.391,1,0.0349,0.299,0.00248,0.171,0.713,113.514,audio_features,197080,4
44,Before They Make Me Run - Remastered,The Rolling Stones,0.595,0.955,0,-2.304,1,0.117,0.384,0.0175,0.05,0.714,132.653,audio_features,204960,4
45,Beginning,C418,0.118,0.0224,1,-30.543,1,0.0369,0.988,0.927,0.091,0.0378,78.558,audio_features,102101,4
46,A Beginning - Anthology 3 Version,The Beatles,0.264,0.293,0,-16.498,1,0.0377,0.958,0.942,0.338,0.033,90.588,audio_features,49960,3
47,"Behold the Birth of Man, the Face of Glory",Sufjan Stevens,0.277,0.135,7,-22.565,0,0.0411,0.929,0.827,0.101,0.03,66.356,audio_features,68787,3
48,Being For The Benefit Of Mr Kite! - Take 7 / Anthology 2 Version,The Beatles,0.394,0.324,0,-12.884,1,0.0648,0.489,0.0,0.453,0.665,168.591,audio_features,153533,3
49,Being For The Benefit Of Mr Kite! - Takes 1 & 2 / Anthology 2 Version,The Beatles,0.631,0.046,0,-20.754,1,0.15,0.584,0.0,0.134,0.319,109.365,audio_features,65667,4
50,Being For The Benefit Of Mr Kite! / I Want You (She's So Heavy) / Helter Skelter,The Beatles,0.291,0.69,2,-8.761,0,0.0671,0.0195,2.25e-06,0.378,0.544,144.054,audio_features,202209,3
51,Being For The Benefit Of Mr. Kite! - Remastered 2009,The Beatles,0.526,0.413,0,-9.865,1,0.0446,0.338,0.0,0.0992,0.71,111.874,audio_features,157533,4
52,Believe Me Natalie,The Killers,0.431,0.907,0,-5.387,1,0.0523,1.51e-05,0.00445,0.0529,0.18,95.958,audio_features,306667,4
53,Belispeak,Purity Ring,0.72,0.9,0,-5.364,0,0.117,0.0246,0.000178,0.225,0.351,105.004,audio_features,178707,4
54,Belle,Jack Johnson,0.603,0.165,7,-17.988,1,0.0452,0.669,0.588,0.124,0.517,126.717,audio_features,102947,4
55,Below the Cherry Moon,WhoMadeWho,0.686,0.904,3,-4.501,0,0.0366,0.000726,0.629,0.11,0.0406,120.016,audio_features,372587,4
56,Belzébuth,Les Colocs,0.6,0.635,2,-8.693,1,0.324,0.315,0.0,0.296,0.75,100.06,audio_features,565600,4
57,The Bend,Real Estate,0.548,0.683,9,-8.854,1,0.03,0.0819,0.635,0.0996,0.529,128.593,audio_features,312147,4
58,Besame Mucho - Anthology 1 Version,The Beatles,0.436,0.567,11,-6.446,0,0.0635,0.539,0.0,0.296,0.811,76.146,audio_features,156960,4
59,Best Night,LMFAO,0.559,0.844,7,-5.708,0,0.0932,0.00696,0.0,0.107,0.629,130.059,audio_features,300000,4
60,Best That I Can,Vance Joy,0.434,0.393,11,-7.738,1,0.0343,0.487,2.73e-05,0.129,0.127,171.945,audio_features,210320,3
